"","GENE","FREQUENCY"
"843","PTRH2",0.166
"844","ATP2B4",0.164
"845","RABL3",0.164
"846","PAPPA",0.162
"847","FAM43A",0.16
"848","VHL",0.16
"849","DHCR7",0.156
"850","ELMO2",0.155
"851","TTC19",0.152
"852","PSAT1",0.151
"853","GINS2",0.15
"854","KCNE4",0.148
"855","TMEM59",0.146
"856","U2AF2",0.14
"857","ZFP36L2",0.14
"858","CTSK",0.139
"859","SNX2",0.139
"860","ZNF496",0.139
"861","ZNF761",0.138
"862","COL5A1",0.136
"863","NOC3L",0.135
"864","GTPBP4",0.132
"865","PTTG1IP",0.131
"866","CXXC1",0.128
"867","SDC4",0.128
"868","TMEM2",0.128
"869","ANKRD40",0.127
"870","DNAJC8",0.127
"871","PNN",0.124
"872","HNRNPA3",0.123
"873","CEP55",0.119
"874","PCMT1",0.119
"875","DKK2",0.115
"876","PIGP",0.115
"877","LDLR",0.112
"878","FBN2",0.108
"879","SAR1A",0.108
"880","TRIAP1",0.108
"881","TRAPPC6A",0.106
"882","SNRPA1",0.103
"883","SLC20A1",0.101
"884","EXOSC8",0.097
"885","OAT",0.097
"886","ZNF282",0.097
"887","PRPS2",0.095
"888","VAC14",0.095
"889","HSPA1B",0.09
"890","CCNE1",0.088
"891","CYFIP1",0.087
"892","HIST1H2BC",0.087
"893","LINC00152",0.086
"894","MTO1",0.084
"895","TOP1MT",0.082
"896","COL15A1",0.081
"897","DNAJC4",0.08
"898","SUPT16H",0.079
"899","TAB1",0.079
"900","JAM2",0.078
"901","MRPL13",0.078
"902","BAIAP2",0.076
"903","FTH1",0.074
"904","FTL",0.074
"905","PTGR1",0.074
"906","DNM2",0.072
"907","PLEKHH3",0.071
"908","MRVI1",0.07
"909","NASP",0.069
"910","PLEK2",0.069
"911","SPHK1",0.069
"912","ACTB",0.068
"913","AXIN1",0.068
"914","NUDC",0.064
"915","FAM103A1",0.063
"916","LRRK1",0.06
"917","SMARCD2",0.06
"918","IFT80",0.058
"919","PSMD11",0.057
"920","TRMT5",0.049
"921","WDR53",0.049
"922","ATXN1L",0.048
"923","NOL9",0.047
"924","RP11-553K8.5",0.047
"925","SLC35E3",0.046
"926","SQRDL",0.042
"927","FKBP1B",0.041
"928","WTAP",0.04
"929","SFR1",0.039
"930","RIT1",0.036
"931","SULF2",0.036
"932","LINC00998",0.034
"933","PLPP2",0.034
"934","ARMT1",0.033
"935","ETS2",0.033
"936","H1FX",0.032
"937","HRSP12",0.032
"938","RBM42",0.032
"939","UBE2E3",0.032
"940","MARCH5",0.031
"941","PPIG",0.031
"942","TSHZ2",0.031
"943","BIN3",0.03
"944","SMYD4",0.03
"945","MGST3",0.029
"946","B9D1",0.028
"947","CST6",0.028
"948","CDK19",0.027
"949","FLCN",0.027
"950","PLXNA2",0.027
"951","SMC2",0.027
"952","CCDC112",0.025
"953","ITGA3",0.025
"954","RUVBL2",0.025
"955","TNFAIP8",0.025
"956","ARMCX1",0.024
"957","MEGF6",0.024
"958","TSN",0.024
"959","GNL1",0.023
"960","TIA1",0.023
"961","CDH2",0.022
"962","LARP1B",0.022
"963","MDH1",0.022
"964","TUB",0.022
"965","TBCC",0.021
"966","ZBTB44",0.021
