"","GENE","FREQUENCY"
"743","RAET1L",0.593
"744","TSPAN1",0.593
"745","DAAM1",0.591
"746","FAM84A",0.589
"747","NEDD1",0.589
"748","CENPV",0.588
"749","GPAT3",0.588
"750","PIGA",0.587
"751","FLI1",0.586
"752","C1QTNF1-AS1",0.585
"753","EDNRA",0.585
"754","LRRCC1",0.584
"755","PDPN",0.584
"756","RP13-638C3.4",0.582
"757","PHTF1",0.581
"758","RP1-102K2.8",0.581
"759","SSTR2",0.58
"760","BMPR1B",0.577
"761","TMCO4",0.577
"762","CYP4X1",0.576
"763","HIF1A",0.576
"764","NEDD4L",0.576
"765","NOP56",0.576
"766","POLH",0.574
"767","ANKRD12",0.573
"768","C19orf48",0.573
"769","DKK3",0.572
"770","SERPINB6",0.57
"771","AVPI1",0.569
"772","RBBP6",0.569
"773","ARHGEF28",0.568
"774","PSAT1",0.566
"775","RASSF10",0.566
"776","DLC1",0.565
"777","A4GALT",0.564
"778","F2R",0.564
"779","KISS1R",0.564
"780","SLC12A2",0.563
"781","ST3GAL6",0.563
"782","MAN1A1",0.56
"783","KIAA1919",0.558
"784","TGIF1",0.558
"785","BIRC5",0.557
"786","FANCD2",0.557
"787","SOCS2",0.557
"788","ADAM19",0.555
"789","PLA2G16",0.554
"790","MAP3K12",0.553
"791","COL1A2",0.552
"792","MUC5AC",0.552
"793","NMU",0.551
"794","EIF4EBP1",0.55
"795","FEZ1",0.55
"796","AJUBA",0.549
"797","ATP2B4",0.549
"798","IL6R",0.549
"799","DSC2",0.547
"800","C1S",0.546
"801","CD9",0.545
"802","CERK",0.545
"803","PHF19",0.545
"804","H2AFZ",0.544
"805","CLCA4",0.538
"806","ELP4",0.538
"807","HIST1H2AE",0.538
"808","LIPG",0.538
"809","PTPRK",0.536
"810","RP1-313I6.12",0.536
"811","PLA2G4D",0.534
"812","CXXC5",0.533
"813","TADA2A",0.533
"814","TGFA",0.533
"815","AP4M1",0.532
"816","DEK",0.531
"817","ARRDC3",0.528
"818","ZNF185",0.528
"819","AFMID",0.527
"820","CLDN7",0.527
