"","GENE","FREQUENCY"
"811","SHROOM3",0.525
"812","SLC44A4",0.525
"813","PSMG4",0.5
"814","DNAJC3",0.498
"815","DUSP4",0.498
"816","MOGS",0.496
"817","B4GALT4",0.495
"818","HES4",0.491
"819","CLOCK",0.489
"820","CLUHP3",0.489
"821","NAV2",0.485
"822","PDE7A",0.484
"823","SEC61A1",0.484
"824","NAT9",0.475
"825","TOP2B",0.473
"826","MED23",0.464
"827","ARHGDIA",0.463
"828","AL139095.2",0.462
"829","GCLM",0.457
"830","CCDC93",0.456
"831","GINM1",0.449
"832","KATNA1",0.448
"833","LIMCH1",0.448
"834","TGM2",0.447
"835","NPM3",0.44
"836","ATIC",0.437
"837","C15orf61",0.437
"838","CCM2",0.437
"839","CDS2",0.437
"840","FRA10AC1",0.437
"841","METTL23",0.437
"842","PBRM1",0.437
"843","PRKAR2A",0.437
"844","ZMAT2",0.437
"845","ZNHIT3",0.437
"846","ARL4A",0.436
"847","NDUFAF8",0.431
"848","CNGA1",0.43
"849","NABP1",0.427
"850","RCAN1",0.426
"851","AC058791.1",0.425
"852","GOLIM4",0.424
"853","DSC3",0.423
"854","SQLE",0.421
"855","ALDH3A1",0.415
"856","C12orf29",0.415
"857","METTL5",0.415
"858","FTX",0.4
"859","ABHD2",0.399
"860","AL512274.1",0.399
"861","ARSJ",0.399
"862","COBLL1",0.399
"863","COX14",0.399
"864","CREBBP",0.399
"865","CTDSP2",0.399
"866","CYTH1",0.399
"867","DGKH",0.399
"868","DUOX2",0.399
"869","GABRP",0.399
"870","GGNBP2",0.399
"871","HIPK3",0.399
"872","HSD17B12",0.399
"873","INSIG2",0.399
"874","LINC01578",0.399
"875","MACROD1",0.399
"876","MINDY2",0.399
"877","MPC2",0.399
"878","MYO1B",0.399
"879","MYO1D",0.399
"880","NAA15",0.399
"881","NDRG2",0.399
"882","NDUFB10",0.399
"883","NOL10",0.399
"884","NOL4L",0.399
"885","OSBPL2",0.399
"886","PPM1A",0.399
"887","PRDX4",0.399
"888","PUM3",0.399
"889","PURA",0.399
"890","SH3D19",0.399
"891","SLC30A4",0.399
"892","ST6GAL1",0.399
"893","TBC1D8",0.399
"894","TRIOBP",0.399
"895","VHL",0.399
"896","ZDHHC13",0.399
"897","ZNF562",0.399
"898","ZNF638",0.399
"899","PDCD5",0.398
"900","ARL8B",0.395
"901","ARID2",0.393
"902","C12orf65",0.393
"903","CAPN8",0.393
"904","GPCPD1",0.393
"905","HBS1L",0.393
"906","JMY",0.393
"907","MNT",0.393
"908","TMEM43",0.393
"909","TP53I11",0.393
"910","ZNF704",0.393
"911","ZSWIM6",0.393
"912","CELF1",0.392
"913","RRAGA",0.392
"914","STX5",0.392
"915","SF1",0.389
"916","SLC16A5",0.389
"917","ZMPSTE24",0.388
"918","C1orf131",0.387
"919","SLC14A1",0.387
"920","TMX3",0.386
"921","DAPP1",0.385
"922","PTAR1",0.385
"923","GOSR1",0.382
"924","MEST",0.382
"925","PPP1R1B",0.38
"926","ORC4",0.379
"927","IGFBP2",0.376
"928","CRELD1",0.375
"929","TOR1AIP2",0.369
"930","CRISP3",0.367
"931","DKC1",0.367
"932","NET1",0.364
"933","PRRC2A",0.364
"934","PRSS21",0.363
"935","AGFG1",0.362
"936","NUBP2",0.362
"937","TFAP2C",0.362
"938","KIAA1109",0.36
"939","TCF20",0.357
"940","SPHK1",0.356
"941","TLDC1",0.353
"942","STRN3",0.35
"943","SLC6A14",0.349
"944","KRCC1",0.347
"945","PARP1",0.342
"946","ABHD11",0.339
"947","RGS10",0.339
"948","KCTD20",0.335
"949","KCNMA1",0.334
"950","KRT17",0.332
"951","KRT19",0.331
"952","RARRES3",0.331
"953","TIMM9",0.326
"954","EML4",0.321
"955","SPOP",0.321
"956","MRPS33",0.32
"957","NANS",0.318
"958","GALNT11",0.313
"959","ANKRD22",0.311
"960","SNHG12",0.311
"961","ZMYND8",0.31
"962","ACVR1B",0.308
"963","ZNF331",0.307
"964","TUBA4A",0.302
"965","NSFL1C",0.301
"966","SERPINB1",0.299
"967","KIAA1551",0.298
"968","MLF2",0.294
"969","EIF2S1",0.292
"970","SLC26A4",0.291
"971","SUZ12P1",0.291
"972","FAM122B",0.284
"973","NCK1",0.283
"974","BLZF1",0.276
"975","RASGEF1B",0.276
"976","NCCRP1",0.274
"977","NARS",0.272
"978","NUCB2",0.271
"979","ACSL3",0.266
"980","GPRC5A",0.264
"981","JMJD6",0.264
"982","TGIF1",0.264
"983","ALKBH5",0.26
"984","EXOC7",0.26
"985","POLR2G",0.26
"986","PTPN3",0.26
"987","RPS27AP12",0.26
"988","SLC25A26",0.26
"989","ZNF652",0.26
"990","TXLNGY",0.259
"991","ITSN2",0.257
"992","DSE",0.25
"993","SECTM1",0.25
"994","TBL1XR1",0.249
"995","TTC3",0.249
