"","GENE","FREQUENCY"
"937","TJP1",0.314
"938","ZNFX1",0.314
"939","ATP5I",0.313
"940","BCL11A",0.313
"941","DIMT1",0.313
"942","JOSD1",0.313
"943","NAV2",0.313
"944","PACSIN3",0.313
"945","PIGT",0.313
"946","PPFIA1",0.313
"947","PRDM2",0.313
"948","REEP3",0.313
"949","RPL41",0.313
"950","TIMM8A",0.313
"951","CMTM7",0.312
"952","PRRC2A",0.312
"953","SNX27",0.312
"954","ATL2",0.311
"955","CIRBP",0.311
"956","ACSL4",0.31
"957","SMAD4",0.31
"958","THOC2",0.31
"959","ELK4",0.309
"960","MVP",0.309
"961","SAMM50",0.309
"962","AC006001.3",0.308
"963","CDC123",0.308
"964","LLPH",0.308
"965","NIPBL",0.308
"966","PATJ",0.308
"967","B3GNT2",0.307
"968","CDC42BPA",0.307
"969","FNDC3B",0.307
"970","H3F3C",0.307
"971","HACD3",0.307
"972","MICALL1",0.307
"973","MMADHC",0.307
"974","PGRMC2",0.307
"975","PRMT1",0.307
"976","PSMB1",0.307
"977","RAI14",0.307
"978","RASEF",0.307
"979","RASSF5",0.307
"980","RHEB",0.307
"981","SF3A3",0.307
"982","SND1",0.307
"983","TWSG1",0.307
"984","VPS4A",0.307
"985","ZNF143",0.307
"986","CAMLG",0.306
"987","COPS6",0.306
"988","PSMG2",0.306
"989","RBM28",0.306
"990","BARD1",0.305
"991","CREBRF",0.305
"992","DDX54",0.305
"993","KCTD1",0.305
"994","CYP4F11",0.304
"995","MRPL20",0.303
"996","PAICS",0.303
"997","ZDHHC2",0.303
"998","AC007182.2",0.302
"999","ACBD3",0.302
"1000","GDI1",0.302
"1001","NAA38",0.302
"1002","NSRP1",0.302
"1003","NUP214",0.302
"1004","PPA1",0.302
"1005","PRPF38A",0.302
"1006","PTGR1",0.302
"1007","PWP1",0.302
"1008","RCOR1",0.302
"1009","ZNF667-AS1",0.302
"1010","CEACAM7",0.301
"1011","ETF1",0.301
"1012","IFRD1",0.301
"1013","MBTPS1",0.301
"1014","SIX1",0.301
"1015","FBXO7",0.3
"1016","GINM1",0.3
"1017","ITGA2",0.3
"1018","NDUFS8",0.3
"1019","NKAP",0.3
"1020","SLC36A4",0.3
"1021","AC078814.1",0.299
"1022","FAM207A",0.299
"1023","FAR1",0.299
"1024","NECTIN1",0.299
"1025","SETD5",0.299
"1026","AC005363.1",0.298
"1027","BEND7",0.298
"1028","CFLAR",0.298
"1029","DNMT3A",0.298
"1030","INO80",0.298
"1031","LPCAT4",0.298
"1032","GLRX5",0.297
"1033","OXA1L",0.297
"1034","VSIG10",0.297
"1035","DNAAF2",0.296
"1036","FBXO25",0.296
"1037","MAGED2",0.296
"1038","MAP3K7",0.296
"1039","MCU",0.296
"1040","MDFI",0.296
"1041","PAXX",0.296
"1042","PON2",0.296
"1043","REST",0.296
"1044","ARID1B",0.295
"1045","LARP6",0.295
"1046","MANBAL",0.295
"1047","CALM2",0.294
"1048","CALR",0.294
"1049","EPS8",0.294
"1050","KRT18",0.294
"1051","MPZL1",0.294
"1052","MRPS18B",0.294
"1053","NOA1",0.294
"1054","NUDCD2",0.294
"1055","PCMT1",0.294
"1056","PPP2R5C",0.294
"1057","TMPRSS2",0.294
"1058","HEIH",0.293
"1059","ILF3-AS1",0.293
"1060","PTPRA",0.293
"1061","ZC3H6",0.293
"1062","CIR1",0.292
"1063","MYLIP",0.292
"1064","PARP4",0.292
"1065","AC016831.5",0.291
"1066","C4orf32",0.291
"1067","DDR1",0.291
"1068","HACD2",0.291
"1069","KIF1C",0.291
"1070","MCUB",0.291
"1071","MIR4435-2HG",0.291
"1072","PPTC7",0.291
"1073","PTP4A1",0.291
"1074","RASSF7",0.291
"1075","SLC16A3",0.291
"1076","SLC25A11",0.291
"1077","SNX2",0.291
"1078","AHSA1",0.29
